shop_name,shop_url
15（いちご）,https://www.esthe-ranking.jp/matsudo/shinmatsudo-station/asian/
Apple,https://www.esthe-ranking.jp/koshigaya/kasukabe-station/asian/
Lucky star,https://www.esthe-ranking.jp/tsut/tsu-city/asian/
ヒトヤスミ,https://www.esthe-ranking.jp/kameari/asian/
愛の憩,https://www.esthe-ranking.jp/kumagaya/kumagaya-city/asian/
花火,https://www.esthe-ranking.jp/koshigaya/shinmatsudo-station/asian/
花蝴蝶,https://www.esthe-ranking.jp/koshigaya/shinkoshigaya-station/asian/
究極ラヴァーズ,https://www.esthe-ranking.jp/tsut/tsu-city/asian/
極上蜜愛,https://www.esthe-ranking.jp/koshigaya/akabane/asian/
桜香源,https://www.esthe-ranking.jp/matsudo/shinmatsudo-station/asian/
淑女の手,https://www.esthe-ranking.jp/kawaguchi/asian/
上女の愛,https://www.esthe-ranking.jp/ichikawa/motoyawata-station/asian/
色っぽい,https://www.esthe-ranking.jp/koshigaya/kasukabe-station/asian/
酔心♡よいこころ,https://www.esthe-ranking.jp/kumagaya/kumagaya-city/asian/
天使のSPA,https://www.esthe-ranking.jp/koshigaya/asian/
濡れ濡れピーチ,https://www.esthe-ranking.jp/kameari/asian/
姫（ひめ）,https://www.esthe-ranking.jp/tsut/tsu-city/asian/
百合,https://www.esthe-ranking.jp/kumagaya/kumagaya-city/asian/
夜の恋人,https://www.esthe-ranking.jp/koshigaya/asian/
夜猫,https://www.esthe-ranking.jp/koshigaya/asian/
癒しの森,https://www.esthe-ranking.jp/kumagaya/kumagaya-city/asian/
癒心,https://www.esthe-ranking.jp/kumagaya/kumagaya-city/asian/
曼妮～マンニ～,https://www.esthe-ranking.jp/kameari/asian/
茉莉花（ジャスミン）,https://www.esthe-ranking.jp/koshigaya/asian/
チョウラン〜蝶蘭〜,https://www.esthe-ranking.jp/funabashi/shop-detail/90df58d7-831c-4ed1-9a51-d65a4e288d33/
